0:0:0:0:0:0:0:1 - - [19/Jun/2016:22:23:37 +0800] "GET /PersonnelTravelManagementWeb/assets/plugins/form-toggle/toggle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2016:22:23:37 +0800] "GET /PersonnelTravelManagementWeb/assets/plugins/datatables/jquery.dataTables.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2016:22:23:37 +0800] "GET /PersonnelTravelManagementWeb/assets/plugins/datatables/dataTables.bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2016:22:23:37 +0800] "GET /PersonnelTravelManagementWeb/assets/js/placeholdr.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2016:22:23:37 +0800] "GET /PersonnelTravelManagementWeb/assets/js/data-table.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2016:22:23:37 +0800] "GET /PersonnelTravelManagementWeb/assets/js/application.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2016:22:23:37 +0800] "GET /PersonnelTravelManagementWeb/assets/demo/avatar/dangerfield.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2016:22:23:37 +0800] "GET /PersonnelTravelManagementWeb/assets/demo/demo.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2016:22:23:37 +0800] "GET /PersonnelTravelManagementWeb/assets/plugins/easypiechart/jquery.easypiechart.min.js HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [19/Jun/2016:22:23:37 +0800] "GET /PersonnelTravelManagementWeb/assets/plugins/sparklines/jquery.sparklines.min.js HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [19/Jun/2016:22:23:37 +0800] "GET /PersonnelTravelManagementWeb/assets/img/BPS_LOGO.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2016:22:23:37 +0800] "GET /PersonnelTravelManagementWeb/assets/fonts/font-awesome/fonts/fontawesome-webfont.woff?v=4.0.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2016:22:23:37 +0800] "GET /PersonnelTravelManagementWeb/assets/img/BPS_LOGO.png HTTP/1.1" 200 9822
0:0:0:0:0:0:0:1 - - [19/Jun/2016:22:24:36 +0800] "GET /PersonnelTravelManagementWeb/_ReportTravelExpense?odid=2 HTTP/1.1" 200 9257
0:0:0:0:0:0:0:1 - - [19/Jun/2016:22:24:37 +0800] "GET /PersonnelTravelManagementWeb/_ReportTravelExpense?odid=2 HTTP/1.1" 200 9252
0:0:0:0:0:0:0:1 - - [19/Jun/2016:22:24:40 +0800] "GET /PersonnelTravelManagementWeb/_ReportTravelExpense?odid=2 HTTP/1.1" 200 9257
